customerkey,gender,city,state,country,continent,age
301,Female,WANDEARAH EAST,South Australia,Australia,Australia,84
325,Female,MOUNT BUDD,Western Australia,Australia,Australia,44
554,Female,WINJALLOK,Victoria,Australia,Australia,76
786,Male,MIDDLE RIVER,South Australia,Australia,Australia,66
1042,Male,TAWONGA SOUTH,Victoria,Australia,Australia,58
1086,Male,TEMPLERS,South Australia,Australia,Australia,69
1133,Male,JUBILEE POCKET,Queensland,Australia,Australia,54
1256,Male,KULLOGUM,Queensland,Australia,Australia,73
1314,Male,EDITH RIVER,Northern Territory,Australia,Australia,58
1568,Male,KOTTA,Victoria,Australia,Australia,48
1585,Female,GREEN LAKE,Victoria,Australia,Australia,33
1626,Female,NEDS CORNER,Victoria,Australia,Australia,38
1642,Female,TARLO,New South Wales,Australia,Australia,58
1677,Male,ELLESMERE,Queensland,Australia,Australia,59
1817,Female,BEAUCHAMP,Victoria,Australia,Australia,37
1863,Female,NAMBOUR DC,Queensland,Australia,Australia,39
1945,Male,GREENFIELDS,Western Australia,Australia,Australia,49
2238,Female,BRUCKNELL,Victoria,Australia,Australia,54
2248,Male,JUNG,Victoria,Australia,Australia,36
2435,Female,BLAKEBROOK,New South Wales,Australia,Australia,55
2469,Female,BIDWILL,Queensland,Australia,Australia,75
2512,Female,BUNKERS HILL,Victoria,Australia,Australia,31
2604,Female,KUBIN VILLAGE,Queensland,Australia,Australia,28
2751,Male,CALLIDE,Queensland,Australia,Australia,44
2792,Male,BAMGANIE,Victoria,Australia,Australia,47
2836,Male,GORDONBROOK,Queensland,Australia,Australia,64
3002,Male,SMITHTON,Tasmania,Australia,Australia,23
3006,Female,HARTLEY,New South Wales,Australia,Australia,80
3203,Male,ARGENTON,New South Wales,Australia,Australia,25
3270,Male,CENTRAL TILBA,New South Wales,Australia,Australia,75
3327,Female,KONONGWOOTONG,Victoria,Australia,Australia,75
3410,Male,BOLLON,Queensland,Australia,Australia,73
3575,Male,HOPPERS CROSSING,Victoria,Australia,Australia,81
3964,Female,DIXIE,Victoria,Australia,Australia,79
4004,Female,WYALLA PLAZA,Queensland,Australia,Australia,28
4174,Female,OCEAN REEF,Western Australia,Australia,Australia,33
4633,Female,KEYSLAND,Queensland,Australia,Australia,59
4734,Male,PARMELIA,Western Australia,Australia,Australia,77
4808,Male,HAYWARDS BAY,New South Wales,Australia,Australia,79
4811,Male,WIDGIEMOOLTHA,Western Australia,Australia,Australia,29
5097,Female,Mount Pleasant,Queensland,Australia,Australia,81
5445,Male,REEFTON,Victoria,Australia,Australia,71
5962,Male,SWAN BAY,New South Wales,Australia,Australia,85
6193,Female,REGENCY PARK,South Australia,Australia,Australia,78
6242,Male,KOOMBERKINE,Western Australia,Australia,Australia,59
6258,Male,SANDFORD,Victoria,Australia,Australia,47
6308,Male,KOOREH,Victoria,Australia,Australia,22
6459,Male,KEILOR DOWNS,Victoria,Australia,Australia,81
6794,Female,CALDER,Tasmania,Australia,Australia,52
7109,Male,LANKEYS CREEK,New South Wales,Australia,Australia,44
7122,Female,HIGGINSVILLE,Western Australia,Australia,Australia,24
7313,Female,KANMANTOO,South Australia,Australia,Australia,33
7398,Male,COOEE BAY,Queensland,Australia,Australia,78
7493,Male,NOORINDOO,Queensland,Australia,Australia,45
7494,Male,HYDE PARK,Queensland,Australia,Australia,56
7566,Male,KILLARA,Victoria,Australia,Australia,30
7664,Male,CANOWIE,South Australia,Australia,Australia,76
7700,Male,STANWELL TOPS,New South Wales,Australia,Australia,48
7725,Female,CURRIMUNDI,Queensland,Australia,Australia,55
7783,Female,MOUNT WALLACE,Victoria,Australia,Australia,62
8098,Female,SOUTH GREENOUGH,Western Australia,Australia,Australia,56
8181,Female,DARTMOUTH,Victoria,Australia,Australia,38
8220,Male,Vista,South Australia,Australia,Australia,78
8789,Female,KALKARINDJI,Northern Territory,Australia,Australia,24
8794,Female,BOULDER CREEK,Queensland,Australia,Australia,61
8945,Female,WARUMBUL,New South Wales,Australia,Australia,84
9167,Male,PARACOMBE,South Australia,Australia,Australia,48
9184,Male,CORUNNUN,Victoria,Australia,Australia,59
9360,Male,MOPARRABAH,New South Wales,Australia,Australia,68
9370,Female,Cook,Australian Capital Territory,Australia,Australia,70
9389,Female,YEARINAN,New South Wales,Australia,Australia,67
9456,Male,CLAREDALE,Queensland,Australia,Australia,82
9812,Female,MINJARY,New South Wales,Australia,Australia,70
9915,Female,SEPPINGS,Western Australia,Australia,Australia,32
10039,Female,NIKENBAH,Queensland,Australia,Australia,76
10189,Female,FOREST REEFS,New South Wales,Australia,Australia,61
10276,Male,BATEAU BAY,New South Wales,Australia,Australia,51
10299,Male,BEELBANGERA,New South Wales,Australia,Australia,86
10332,Male,Palmyra,Western Australia,Australia,Australia,86
10393,Male,ROSENTHAL HEIGHTS,Queensland,Australia,Australia,42
10395,Male,STRATHERNE,Western Australia,Australia,Australia,27
10481,Female,CELLS RIVER,New South Wales,Australia,Australia,46
10504,Male,SOUTH DATATINE,Western Australia,Australia,Australia,43
10717,Male,MAYA,Western Australia,Australia,Australia,42
11035,Female,KINGS FOREST,New South Wales,Australia,Australia,84
11090,Female,SILVERWATER,New South Wales,Australia,Australia,70
11587,Male,York,Western Australia,Australia,Australia,46
11736,Female,YARRABILBA,Queensland,Australia,Australia,32
12084,Male,GALGA,South Australia,Australia,Australia,65
12160,Male,Oakhurst,New South Wales,Australia,Australia,67
12162,Female,WHITTINGTON,Victoria,Australia,Australia,69
12207,Male,OGMORE,Queensland,Australia,Australia,68
12256,Female,ROTHBURY,New South Wales,Australia,Australia,32
12365,Female,STEEPLE FLAT,New South Wales,Australia,Australia,65
12385,Female,OVERLAND CORNER,South Australia,Australia,Australia,42
12392,Female,GREENHILL,South Australia,Australia,Australia,66
12649,Female,NOBLE PARK NORTH,Victoria,Australia,Australia,58
12729,Male,STANNUM,New South Wales,Australia,Australia,86
12810,Male,Deer Park,Victoria,Australia,Australia,66
12859,Male,NABAWA,Western Australia,Australia,Australia,81
12868,Male,MALLALA,South Australia,Australia,Australia,62
13045,Female,BLUE MOUNTAIN HEIGHTS,Queensland,Australia,Australia,66
13071,Female,CUBALLING,Western Australia,Australia,Australia,50
13232,Female,UNLEY BC,South Australia,Australia,Australia,38
13365,Male,MOONEM,New South Wales,Australia,Australia,62
13607,Female,MAMBRAY CREEK,South Australia,Australia,Australia,69
14069,Male,ROB ROY,New South Wales,Australia,Australia,74
14180,Female,KALGOORLIE,Western Australia,Australia,Australia,25
14275,Female,BENTLEY,New South Wales,Australia,Australia,44
14906,Female,BOYER,Tasmania,Australia,Australia,41
14962,Female,Crestwood,New South Wales,Australia,Australia,87
14988,Female,WYNDHAM VALE,Victoria,Australia,Australia,65
15109,Female,WHALE BEACH,New South Wales,Australia,Australia,24
15385,Male,DOONGIN,Western Australia,Australia,Australia,28
15391,Female,MARRAWEENEY,Victoria,Australia,Australia,34
